fever,cough,headache,fatigue,body pain,chest pain,vomiting,dizziness,snake bite,itching,rash,stomach ache,shortness of breath,bleeding,unconscious,swelling,sore throat,runny nose,loss of appetite,chills,disease
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Migraine
0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Food Poisoning
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Food Poisoning
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Food Poisoning
0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Food Poisoning
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Food Poisoning
1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,Food Poisoning
0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Food Poisoning
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Food Poisoning
0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Food Poisoning
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Food Poisoning
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Food Poisoning
0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,Food Poisoning
1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Food Poisoning
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,Food Poisoning
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Food Poisoning
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,Food Poisoning
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Heart Issue
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heart Issue
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Heart Issue
0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Heart Issue
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Heart Issue
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Heart Issue
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Heart Issue
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heart Issue
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heart Issue
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,Heart Issue
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heart Issue
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Heart Issue
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Heart Issue
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Heart Issue
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Heart Issue
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Heart Issue
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Snake Bite
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Snake Bite
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Snake Bite
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Snake Bite
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Snake Bite
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Snake Bite
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Snake Bite
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Snake Bite
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Snake Bite
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Snake Bite
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Snake Bite
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Snake Bite
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Snake Bite
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Allergy
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Allergy
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Allergy
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Allergy
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Allergy
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Allergy
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Stomach Infection
0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,Stomach Infection
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stomach Infection
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Stomach Infection
1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Stomach Infection
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Stomach Infection
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stomach Infection
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Stomach Infection
0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Stomach Infection
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Stomach Infection
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Stomach Infection
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Stomach Infection
0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Stomach Infection
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stomach Infection
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Severe Injury
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Severe Injury
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Severe Injury
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Severe Injury
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Severe Injury
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Severe Injury
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Severe Injury
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Severe Injury
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Severe Injury
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Severe Injury
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Critical Condition
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Critical Condition
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Critical Condition
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Critical Condition
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Critical Condition
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Critical Condition
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Critical Condition
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Critical Condition
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Dengue
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Dengue
1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Dengue
1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Dengue
1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Dengue
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dengue
1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Dengue
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Dengue
1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Dengue
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Dengue
1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,Dengue
1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Dengue
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Dengue
1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,Dengue
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dengue
1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Dengue
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Typhoid
1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Typhoid
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Typhoid
1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Typhoid
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Typhoid
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Typhoid
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Typhoid
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,COVID-19
1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,COVID-19
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,COVID-19
0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COVID-19
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COVID-19
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,COVID-19
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,COVID-19
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,COVID-19
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,COVID-19
1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,COVID-19
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,COVID-19
1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,COVID-19
1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COVID-19
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COVID-19
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,COVID-19
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COVID-19
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Anxiety
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Anxiety
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Anxiety
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Anxiety
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anxiety
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dehydration
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Dehydration
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dehydration
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dehydration
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dehydration
